id,call
1,Kelly's eye
2,One little duck.
3,Cup of tea
4,Knock at the door
5,Man alive
6,Half a dozen
7,Lucky
8,Garden gate
9,Doctor's orders
10,Rishi's den.
11,Legs eleven
12,One dozen
13,Unlucky for some
14,Valentine's Day
15,Young and keen
16,Sweet 16
17,Dancing Queen
18,Coming of age
19,Goodbye teens
20,One score
21,Key of the door
22,Two little ducks
23,The Lord is My Shepherd
24,Two dozen
25,Duck and dive
26,Half a crown
27,Duck and a crutch.
28,Overweight
29,Rise and shine
30,Dirty Gertie
31,Get up and run
32,Buckle my shoe
33,Dirty knee
34,Ask for more
35,Jump and jive
36,Three dozen
37,More than 11
38,Christmas cake
39,Steps
40,Life begins
41,Time for fun
42,Winnie the Pooh
43,Down on your knees
44,Droopy drawers
45,Halfway there
46,Up to tricks
47,Four and seven
48,Four dozen
49,PC
50,It's a bullseye!
51,Tweak of the thumb
52,Deck of cards
53,Stuck in the tree
54,Man at the door
55,Snakes alive
56,Shotts bus
57,Heinz varieties
58,Make them wait
59,Brighton line
60,Grandma's getting frisky
61,Bakers bun
62,Tickety-boo
63,Tickle me
64,Almost retired
65,Old age pension
66,Clickety click
67,Stairway to Heaven
68,Saving grace
69,Meal for two
70,Three score and 10
71,Bang on the drum
72,Six dozen
73,Queen bee
74,Hit the floor
75,Strive and strive
76,Trombones
77,Two little crutches
78,39 more steps
79,One more time
80,Gandhi's breakfast
81,Stop and run
82,Straight on through
83,Time for tea
84,Give me more
85,Staying alive
86,Between the sticks
87,Torquay in Devon
88,Two fat ladies
89,Nearly there
90,Top of the shop
